pl_hostname,pl_name,ra,dec,st_dist,st_optmag
Kepler-161,Kepler-161 b,290.516491,43.083824,464,14.196
Kepler-161,Kepler-161 c,290.516491,43.083824,464,14.196
Kepler-1610,Kepler-1610 b,295.90501,45.405434,1063,15.85
Kepler-1611,Kepler-1611 b,296.512049,49.727764,686,14.435
Kepler-1612,Kepler-1612 b,291.250279,45.655075,837,14.75
Kepler-1613,Kepler-1613 b,289.875041,43.420963,855,14.118
Kepler-1614,Kepler-1614 b,284.871334,49.775913,982,15.923
Kepler-1615,Kepler-1615 b,286.359226,42.227478,940,14.553
Kepler-1616,Kepler-1616 b,286.543637,45.304874,862,13.499
Kepler-1617,Kepler-1617 b,287.937219,46.418491,813,13.63
Kepler-1618,Kepler-1618 b,295.175391,45.930908,1238,13.606
Kepler-1619,Kepler-1619 b,285.703472,44.422001,520,13.341
Kepler-162,Kepler-162 b,297.27891,43.724018,905,14.248
Kepler-162,Kepler-162 c,297.27891,43.724018,905,14.248
Kepler-1620,Kepler-1620 b,297.270876,46.928417,773,13.658
Kepler-1621,Kepler-1621 b,297.588518,43.841221,1461,15.015
Kepler-1622,Kepler-1622 b,297.32891,47.815472,927,13.385
Kepler-1623,Kepler-1623 b,294.082695,39.556103,986,14.951
Kepler-1624,Kepler-1624 b,292.57986,37.376411,199,15.669
Kepler-1625,Kepler-1625 b,295.429347,39.886547,1213,15.756
Kepler-1626,Kepler-1626 b,296.500445,40.72123,1718,14.275
Kepler-1627,Kepler-1627 b,284.056684,41.576733,311,13.028
Kepler-1628,Kepler-1628 b,281.6337,43.411579,352,16.595
Kepler-1629,Kepler-1629 b,280.206621,43.774297,390,12.75
Kepler-163,Kepler-163 b,295.002819,46.987328,750,14.415
Kepler-163,Kepler-163 c,295.002819,46.987328,750,14.415
Kepler-1630,Kepler-1630 b,297.508294,43.710953,278,14.15
Kepler-1631,Kepler-1631 b,294.63257,43.807671,1190,15.524
Kepler-1632,Kepler-1632 b,294.494859,43.91362,584,13.093
Kepler-1633,Kepler-1633 b,288.515202,44.923225,811,13.435
Kepler-1634,Kepler-1634 b,294.043409,45.139786,654,14.508
Kepler-1635,Kepler-1635 b,285.348993,45.556183,1084,15.696
Kepler-1636,Kepler-1636 b,294.057625,46.441031,1567,15.807
Kepler-1637,Kepler-1637 b,282.236848,48.154297,506,13.328
Kepler-1638,Kepler-1638 b,295.482407,48.524445,879,14.759
Kepler-1639,Kepler-1639 b,283.068632,48.802086,1168,14.496
Kepler-164,Kepler-164 b,287.780828,47.629913,991,14.282
Kepler-164,Kepler-164 c,287.780828,47.629913,991,14.282
Kepler-164,Kepler-164 d,287.780828,47.629913,991,14.282
Kepler-1640,Kepler-1640 b,294.55789,40.850498,1379,14.624
Kepler-1641,Kepler-1641 b,296.35944,41.574532,961,14.263
Kepler-1641,Kepler-1641 c,296.35944,41.574532,961,14.263
Kepler-1642,Kepler-1642 b,297.21216,43.643719,447,14.13
Kepler-1642,Kepler-1642 c,297.21216,43.643719,447,14.13
Kepler-1643,Kepler-1643 b,300.431,44.751011,414,13.116
Kepler-1644,Kepler-1644 b,285.475055,48.034935,592,14.223
Kepler-1645,Kepler-1645 b,297.479473,48.418571,844,14.472
Kepler-1646,Kepler-1646 b,287.526422,42.912908,81,15.737
Kepler-1647,Kepler-1647 b,298.150086,40.656175,1211.54,13.545
Kepler-1649,Kepler-1649 b,292.503769,41.830421,92.43,17.131
Kepler-165,Kepler-165 b,280.691016,47.809735,581,14.802
Kepler-165,Kepler-165 c,280.691016,47.809735,581,14.802
Kepler-1650,Kepler-1650 b,297.729255,42.866898,120.5,15.722
Kepler-1651,Kepler-1651 b,283.628354,48.391022,69.4,13.496
Kepler-1652,Kepler-1652 b,294.366085,49.915058,252,15.931
Kepler-1653,Kepler-1653 b,296.457755,41.266024,755,15.429
Kepler-1654,Kepler-1654 b,282.185812,44.434486,567.84,13.424
Kepler-1655,Kepler-1655 b,286.689452,39.211929,214.58,11.072
Kepler-1656,Kepler-1656 b,284.472168,39.911824,186.88,11.64
Kepler-166,Kepler-166 b,293.160171,48.881191,655,14.701
Kepler-166,Kepler-166 c,293.160171,48.881191,655,14.701
Kepler-166,Kepler-166 d,293.160171,48.881191,655,14.701
Kepler-167,Kepler-167 b,292.658441,38.345413,330,14.023
Kepler-167,Kepler-167 c,292.658441,38.345413,330,14.023
Kepler-167,Kepler-167 d,292.658441,38.345413,330,14.023
Kepler-167,Kepler-167 e,292.658441,38.345413,330,14.023
Kepler-168,Kepler-168 b,294.710165,39.825104,1476,14.606
Kepler-168,Kepler-168 c,294.710165,39.825104,1476,14.606
Kepler-169,Kepler-169 b,285.999891,40.919329,434,14.194
Kepler-169,Kepler-169 c,285.999891,40.919329,434,14.194
Kepler-169,Kepler-169 d,285.999891,40.919329,434,14.194
Kepler-169,Kepler-169 e,285.999891,40.919329,434,14.194
Kepler-169,Kepler-169 f,285.999891,40.919329,434,14.194
Kepler-17,Kepler-17 b,298.395274,47.815006,800,14.141
Kepler-170,Kepler-170 b,284.521193,41.629604,743,14.387
Kepler-170,Kepler-170 c,284.521193,41.629604,743,14.387
Kepler-171,Kepler-171 b,296.771914,41.755537,1026,14.883
Kepler-171,Kepler-171 c,296.771914,41.755537,1026,14.883
Kepler-171,Kepler-171 d,296.771914,41.755537,1026,14.883
Kepler-172,Kepler-172 b,283.368413,41.821857,796,14.532
Kepler-172,Kepler-172 c,283.368413,41.821857,796,14.532
Kepler-172,Kepler-172 d,283.368413,41.821857,796,14.532
Kepler-172,Kepler-172 e,283.368413,41.821857,796,14.532
Kepler-173,Kepler-173 b,294.646695,41.884106,810,14.209
Kepler-173,Kepler-173 c,294.646695,41.884106,810,14.209
Kepler-174,Kepler-174 b,287.439194,43.832092,371,14.287
Kepler-174,Kepler-174 c,287.439194,43.832092,371,14.287
Kepler-174,Kepler-174 d,287.439194,43.832092,371,14.287
Kepler-175,Kepler-175 b,289.553283,43.876183,1279,14.939
Kepler-175,Kepler-175 c,289.553283,43.876183,1279,14.939
Kepler-176,Kepler-176 b,294.667956,43.853259,564,14.55
Kepler-176,Kepler-176 c,294.667956,43.853259,564,14.55
Kepler-176,Kepler-176 d,294.667956,43.853259,564,14.55
Kepler-176,Kepler-176 e,294.667956,43.853259,564,14.55
