loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
1078,EPIC 212150006,128.16954,23.032,0.898,,,0,2457139.982,,,0,,,,,,,,,0.04333,,,0,,,,,,,,,14.7,,0,12.948,0.031,0
1079,EPIC 212150006,128.16954,23.032,0.898216,0.000135,-0.000135,0,2457190.286,0.00067,-0.00068,0,85.1,3.6,-12.2,0,6.3,1.2,-3.2,0,0.0449,0.009,-0.002,0,4.02,0.82,-0.82,0,0.82,0.05,-0.05,0,14.7,,0,12.948,0.031,0
1080,EPIC 212150006,128.16954,23.032,0.89803906,,,0,2457142.684,,,0,,,,,,,,,,,,,,,,,,,,,14.7,,0,12.948,0.031,0
1081,EPIC 212152341,132.754028,23.083958,6.676,,,0,2457141.311,,,0,,,,,,,,,0.19856,,,0,,,,,,,,,19.109,,0,,,
1094,EPIC 212161956,126.372925,23.297377,7.187,,,0,2457140.698,,,0,,,,,,,,,0.03458,,,0,,,,,,,,,14.778,,0,12.3,0.023,0
1100,EPIC 212270970,207.791489,-18.461727,1.717,,,0,2457218.134,,,0,,,,,,,,,0.00929,,,0,,,,,,,,,13.352,,0,11.899,0.024,0
1101,EPIC 212278644,207.124573,-18.196602,12.426,,,0,2457227.549,,,0,,,,,,,,,0.02077,,,0,,,,,,,,,13.949,,0,12.497,0.029,0
1102,EPIC 212294561,205.14711,-17.695271,2.76294135,,,0,2457226.109,,,0,,,,,,,,,,,,,,,,,,,,,13.149,,0,11.53,0.024,0
1103,EPIC 212297394,207.206223,-17.609905,5.213,,,0,2457222.483,,,0,,,,,,,,,0.02662,,,0,,,,,,,,,14.138,,0,12.186,0.023,0
1107,EPIC 212301649,201.462143,-17.48313,1.225,,,0,2457217.565,,,0,,,,,,,,,0.01496,,,0,,,,,,,,,14.056,,0,12.122,0.024,0
1108,EPIC 212303338,202.958832,-17.430704,0.595621,0.000044,-0.000046,0,2457218.393,0.003441,-0.003346,0,84.352,4.169,-10.449,0,4.717778,1.592012,-1.70304,0,0.00619,0.00109,-0.0007,0,0.583,0.109,-0.069,0,0.86,0.05,-0.03,0,9.957,,0,7.912,0.026,0
1109,EPIC 212310244,208.077927,-17.225447,6.669,,,0,2457220.874,,,0,,,,,,,,,0.01461,,,0,,,,,,,,,14.092,,0,12.092,0.027,0
1110,EPIC 212311834,199.976639,-17.181145,17.788652,0.000163,-0.000164,0,2457233.41,0.000303,-0.000289,0,,,,,,,,,0.5791,0.2167,-0.1549,0,47.8,26.2,-23,0,0.76,,,0,14.679,,0,12.762,0.033,0
1111,EPIC 212315941,203.087265,-17.061192,12.9348816,,,0,2457226.556,,,0,,,,,,,,,,,,,,,,,,,,,14.406,,0,12.175,0.029,0
1112,EPIC 212321305,204.641998,-16.910097,34.144,,,0,2457228.926,,,0,,,,,,,,,0.05326,,,0,,,,,,,,,13.861,,0,12.467,0.033,0
1113,EPIC 212330265,208.379623,-16.6597,4.174,,,0,2457220.427,,,0,,,,,,,,,0.03183,,,0,,,,,,,,,14.949,,0,11.655,0.021,0
1114,EPIC 212351026,201.686874,-16.10515,2.548,,,0,2457218.171,,,0,,,,,,,,,0.04983,,,0,,,,,,,,,14.541,,0,11.165,0.023,0
1115,EPIC 212351026,201.686874,-16.10515,2.55068936,,,0,2457225.785,,,0,,,,,,,,,,,,,,,,,,,,,14.541,,0,11.165,0.023,0
1116,EPIC 212351405,201.662933,-16.095001,2.549,,,0,2457218.158,,,0,,,,,,,,,0.04428,,,0,,,,,,,,,13.995,,0,11.967,0.024,0
1117,EPIC 212351405,201.662933,-16.095001,2.55234671,,,0,2457225.753,,,0,,,,,,,,,,,,,,,,,,,,,13.995,,0,11.967,0.024,0
1122,EPIC 212370106,201.271866,-15.625073,22.446,,,0,2457225.441,,,0,,,,,,,,,0.03932,,,0,,,,,,,,,14.563,,0,12.34,0.026,0
1123,EPIC 212380207,200.356232,-15.377218,26.147,,,0,2457241.871,,,0,,,,,,,,,0.02384,,,0,,,,,,,,,13.267,,0,11.467,0.021,0
1124,EPIC 212393193,210.546997,-15.06954,36.152,,,0,2457236.741,,,0,,,,,,,,,0.0183,,,0,,,,,,,,,12.101,,0,10.773,0.019,0
1125,EPIC 212393193,210.546997,-15.06954,14.452,,,0,2457219.472,,,0,,,,,,,,,0.0182,,,0,,,,,,,,,12.101,,0,10.773,0.019,0
1132,EPIC 212398508,203.62886,-14.94716,46.423,,,0,2457237.276,,,0,,,,,,,,,0.0261,,,0,,,,,,,,,13.629,,0,11.951,0.026,0
1135,EPIC 212420823,199.099731,-14.444631,9.029,,,0,2457219.139,,,0,,,,,,,,,0.02611,,,0,,,,,,,,,14.166,,0,12.204,0.029,0
1136,EPIC 212424622,202.331421,-14.359463,12.012,,,0,2457219.497,,,0,,,,,,,,,0.01775,,,0,,,,,,,,,13.26,,0,11.775,0.021,0
1137,EPIC 212425103,204.369583,-14.348889,0.946,,,0,2457218.175,,,0,,,,,,,,,0.01735,,,0,,,,,,,,,14.493,,0,12.72,0.026,0
1138,EPIC 212425103,204.369583,-14.348889,0.94599529,,,0,2457225.742,,,0,,,,,,,,,,,,,,,,,,,,,14.493,,0,12.72,0.026,0
1139,EPIC 212428509,203.628494,-14.271621,2.667929,0.000021,-0.000016,0,2457222.503,0.000139,-0.000312,0,,,,,,,,,0.497,0.0863,-0.0853,0,50.7,11.9,-9.7,0,0.94,,,0,12.483,,0,10.976,0.026,0
1140,EPIC 212432685,204.298798,-14.180588,0.531704,0.000033,-0.000035,0,2457217.996,0.002904,-0.002825,0,,,,,,,,,0.0169,0.0018,-0.0009,0,2,0.8,-0.8,0,1.06,,,0,13.132,,0,11.845,0.023,0
1141,EPIC 212432685,204.298798,-14.180588,1.063,,,0,2457217.992,,,0,,,,,,,,,0.01519,,,0,,,,,,,,,13.132,,0,11.845,0.023,0
