loc_rowid,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas,RA,Dec
212,6300,1.433,2.92,2.92,557,1.2816,3.0246,1.7088,2.301,5.43,3.068,296.688263,-63.565609
213,5950,1.1,,1.3682,878.65,0.8773,2.0704,1.1697,0.998,2.356,1.331,291.478699,-23.202793
214,6572,1.621,4.37,4.37,773,1.5678,3.7001,2.0905,2.028,4.787,2.704,112.419289,-29.937889
215,5403,0.925,0.65013,0.65013,420,0.6047,1.4272,0.8063,1.44,3.398,1.92,94.112075,-22.546885
216,6460,2.26,8,8,1431,2.1213,5.0063,2.8284,1.482,3.498,1.977,100.571251,-29.776806
217,6424,1.71,4.5,4.5,800,1.591,3.7547,2.1213,1.989,4.693,2.652,103.517418,-27.050388
218,6060,1.48,2.66,2.66,942,1.2232,2.8868,1.631,1.299,3.065,1.731,108.452415,-33.437332
219,5099,0.812,0.4,0.4,341,0.4743,1.1194,0.6325,1.391,3.283,1.855,80.53817,-30.970833
220,5080,0.847,0.4,0.4,463,0.4743,1.1194,0.6325,1.024,2.418,1.366,84.326706,-27.97261
221,6450,1.315,2.66,2.66,818,1.2232,2.8868,1.631,1.495,3.529,1.994,101.994293,-21.910694
222,5495,0.853,0.589,0.589,448,0.5756,1.3584,0.7675,1.285,3.032,1.713,6.702417,-56.316113
223,5304,0.871,0.53951,0.53951,257,0.5509,1.3001,0.7345,2.144,5.059,2.858,67.222871,-21.481916
224,5990,1.117,1.39,1.39,717,0.8842,2.0868,1.179,1.233,2.91,1.644,300.42749,-26.077583
225,5758,1.44,2.04,2.04,478,1.0712,2.5281,1.4283,2.241,5.289,2.988,102.847504,-29.058611
226,6010,1.046,1.17,1.17,631,0.8112,1.9145,1.0817,1.286,3.034,1.714,140.087708,-31.269333
227,5644,1.101,1.11,1.11,613,0.7902,1.8648,1.0536,1.289,3.042,1.719,176.628006,-33.860054
228,5670,1.036,0.99,0.99,654.88,0.7462,1.7611,0.995,1.14,2.689,1.519,170.325,-22.388167
229,3724,0.57,,0.05637,148.4,0.1781,0.4203,0.2374,1.2,2.832,1.6,88.146797,-19.031656
230,5688,1.46,1.996,1.996,494.3,1.0596,2.5007,1.4128,2.144,5.059,2.858,341.364018,-14.991763
231,5542,1.664,2.34,2.34,694,1.1473,2.7076,1.5297,1.653,3.901,2.204,61.657782,-25.34971
232,5416,0.933,0.671,0.671,516.8,0.6144,1.4499,0.8191,1.189,2.806,1.585,312.449305,-24.303471
233,5627,1.07,1.028,1.028,634.8,0.7604,1.7946,1.0139,1.198,2.827,1.597,67.418554,-28.197287
234,6554,2.113,7.37,7.37,1083,2.0361,4.8052,2.7148,1.88,4.437,2.507,144.287625,-29.800437
235,6277,1.31,2.38,2.38,495,1.157,2.7306,1.5427,2.337,5.516,3.117,292.939799,-26.740201
236,6626,1.841,5.85,5.85,1538,1.814,4.2811,2.4187,1.179,2.784,1.573,101.394823,-33.881703
237,6594,1.441,3.52,3.52,982,1.4071,3.3208,1.8762,1.433,3.382,1.911,180.208826,-46.136424
238,6147,1.748,3.91,3.91,618.2,1.483,3.4999,1.9774,2.399,5.662,3.199,15.005889,-58.904757
239,5137,0.878,0.4813,0.4813,420.3,0.5203,1.228,0.6938,1.238,2.922,1.651,289.29735,-60.891683
240,4985,0.815,0.368,0.368,257,0.455,1.0737,0.6066,1.77,4.178,2.36,208.856995,-21.207695
241,5679,1.086,,1.10674,829,0.789,1.8621,1.052,0.952,2.246,1.269,294.941746,-25.748318
242,5599,1.56,,2.15768,654.36,1.1017,2.6,1.4689,1.684,3.973,2.245,290.810104,-20.166317
243,10500,,31.62278,31.62278,97,4.2176,9.9534,5.6234,43.48,102.613,57.973,173.356003,-70.194786
244,4891,10.06,,52.24965,137.72,5.4213,12.7943,7.2284,39.366,92.903,52.487,173.76564,20.441545
245,5533,1.04,,0.91455,49.6,0.7172,1.6927,0.9563,14.459,34.124,19.279,173.964676,-4.755697
246,5911,1.109,,1.35458,39.02,0.8729,2.06,1.1639,22.371,52.794,29.827,24.473234,-60.511528
247,5108,0.86,,0.45425,30.05,0.5055,1.1929,0.674,16.82,39.694,22.426,175.875458,-58.006886
248,5655,1.23,,1.39585,39.62,0.8861,2.0912,1.1815,22.362,52.775,29.816,176.210251,-58.703709
249,5301,0.82,,0.47902,29.36,0.5191,1.225,0.6921,17.678,41.72,23.571,176.426224,2.821483
250,4790,10.3,,50.38639,350.01,5.3238,12.5641,7.0983,15.21,35.897,20.281,176.598068,14.123986
251,4745,9.82,,44.10264,218.42,4.9807,11.7545,6.641,22.804,53.817,30.405,176.694351,3.474293
252,5630,,,,9.29,,,,,,,176.629471,-40.500355
253,4985,4.55,,11.53401,122.32,2.5471,6.0112,3.3962,20.824,49.144,27.765,177.843796,57.640736
254,5250,0.88,,0.53076,57.24,0.5464,1.2895,0.7285,9.546,22.528,12.728,178.220749,-50.292824
255,5017,0.73,,0.30459,41.6,0.4139,0.9769,0.5519,9.95,23.482,13.267,179.1716,-2.778953
256,6489,,3.49945,3.49945,56.5,1.403,3.3111,1.8707,24.832,58.603,33.109,179.231628,-12.107909
257,4937,0.74,,0.2935,20.38,0.4063,0.9589,0.5418,19.942,47.063,26.589,179.791702,-20.353781
258,4912,1.97,,2.03827,135.89,1.0708,2.527,1.4277,7.88,18.596,10.506,25.471457,2.704376
259,4877,11,60,60,100.86,5.8095,13.7104,7.746,57.599,135.933,76.798,181.312988,76.905731
260,5874,1.1,,1.29962,37.4,0.855,2.0178,1.14,22.861,53.952,30.482,183.372955,10.041638
261,5509,2.66,,5.87965,94.06,1.8186,4.2919,2.4248,19.335,45.63,25.78,183.40535,-9.513381
262,6277,1.29,,2.33069,109.7,1.145,2.7022,1.5267,10.438,24.633,13.917,183.472473,-0.393484
263,6218,1.1,1.40929,1.40929,17.34,0.8904,2.1012,1.1871,51.334,121.148,68.445,25.622149,-53.740833
264,5362,1.62,1.23027,1.23027,34.12,0.8319,1.9632,1.1092,24.378,57.531,32.503,183.777359,-7.257327
265,6516,,5.62341,5.62341,103.33,1.7785,4.1973,2.3714,17.211,40.619,22.949,184.471634,-55.975525
266,5600,1.79,,2.84286,32.6,1.2646,2.9844,1.6861,38.79,91.545,51.72,26.232603,20.083149
267,5797,,,,49.49,,,,,,,184.806213,-3.319789
268,6265,,1.93,1.93,38.96,1.0419,2.459,1.3892,26.741,63.109,35.655,186.44278,-64.022087
269,5122,0.79,,0.38753,49.4,0.4669,1.1019,0.6225,9.451,22.305,12.602,186.880798,-71.422974
270,4878,5.74,,16.83014,165.52,3.0768,7.2613,4.1025,18.589,43.871,24.786,187.582962,21.948244
271,5600,1.05,,0.9782,68.5,0.7418,1.7506,0.989,10.829,25.556,14.439,187.612015,22.879829
272,5844,1.07,,1.20477,65.6,0.8232,1.9428,1.0976,12.549,29.616,16.732,188.029953,74.489548
273,5783,,1.99986,1.99986,55.96,1.0606,2.5031,1.4142,18.953,44.729,25.271,188.398148,-11.621868
274,5824,1.22,1.54882,1.54882,63.2,0.9334,2.2028,1.2445,14.77,34.857,19.693,189.318237,-40.812115
275,4445,20.9,,153.84252,90,9.3025,21.9539,12.4033,103.361,243.932,137.815,189.811523,-7.995564
276,5512,0.9,,0.67456,28.98,0.616,1.4537,0.8213,21.255,50.161,28.339,192.215637,-68.425148
277,4884,8.03,38.07,38.07,114.54,4.6276,10.9211,6.1701,40.402,95.349,53.869,192.572067,22.863407
278,6557,1.45,,3.50634,32.73,1.4044,3.3144,1.8725,42.904,101.254,57.206,193.296494,-3.553098
279,6576.6,1.5,,3.79739,36.22,1.4615,3.4492,1.9487,40.354,95.234,53.805,195.445526,63.610226
280,4462,0.53,,0.10045,15.9,0.2377,0.561,0.3169,14.95,35.283,19.934,196.239487,-52.442925
281,4181,25.11,291,291,101.63,12.794,30.1939,17.0587,125.893,297.108,167.858,196.794708,27.624741
282,4836,0.76,,0.28502,27.95,0.4004,0.9449,0.5339,14.327,33.812,19.103,197.665924,-35.054783
283,5641,2.14,,4.18359,20.29,1.534,3.6203,2.0454,75.588,178.387,100.784,198.013275,-37.80302
